created_at,current_price,fluctuation_rate,stock_code,stock_name,trading_volume
2021-03-15 21:22:10,"43,900",+2.69%,004020,현대제철,"1,107,505"
2021-03-15 21:22:10,"135,000",-0.74%,271560,오리온,"57,944"
2021-03-15 21:22:10,"25,900",+1.57%,035250,강원랜드,"607,661"
2021-03-15 21:22:10,"12,100",0.00%,032640,LG유플러스,"1,290,568"
2021-03-15 21:22:10,"217,000",-0.46%,011070,LG이노텍,"191,614"
2021-03-15 21:22:10,"63,200",0.00%,002790,아모레G,"148,115"
2021-03-15 21:22:10,"95,000",+3.83%,019170,신풍제약,"875,069"
2021-03-15 21:22:10,"66,700",+0.15%,021240,코웨이,"145,125"
2021-03-15 21:22:10,"179,000",+0.28%,139480,이마트,"187,972"
2021-03-15 21:22:10,"86,900",-0.46%,071050,한국금융지주,"209,942"
2021-03-15 21:22:10,"28,050",+1.26%,003490,대한항공,"1,351,286"
2021-03-15 21:22:10,"42,750",+2.27%,000720,현대건설,"1,318,005"
2021-03-15 21:22:10,"281,500",+1.26%,267250,현대중공업지주,"49,210"
2021-03-15 21:22:10,"114,000",0.00%,011790,SKC,0
2021-03-15 21:22:10,"11,350",0.00%,034020,두산중공업,"1,718,875"
2021-03-15 21:22:10,"60,700",+0.83%,000100,유한양행,"191,444"
2021-03-15 21:22:10,"6,660",+3.42%,010140,삼성중공업,"7,902,034"
2021-03-15 21:22:10,"59,300",-0.50%,008930,한미사이언스,"102,188"
2021-03-15 21:22:10,"34,150",+0.74%,029780,삼성카드,"85,784"
2021-03-15 21:22:10,"172,000",+0.88%,000120,CJ대한통운,"42,200"
2021-03-15 21:22:10,"59,100",+0.17%,180640,한진칼,"42,954"
2021-03-15 21:22:10,"334,000",-2.05%,006280,녹십자,"87,674"
2021-03-15 21:22:10,"322,500",+1.10%,128940,한미약품,"45,440"
2021-03-15 21:22:10,"40,300",+0.75%,078930,GS,"311,990"
2021-03-15 21:22:10,"35,850",+0.70%,241560,두산밥캣,"382,199"
2021-03-15 21:22:10,"126,500",-0.39%,023530,롯데쇼핑,"116,918"
2021-03-15 21:22:10,"299,500",-1.32%,285130,SK케미칼,"237,108"
2021-03-15 21:22:10,"39,200",+1.16%,016360,삼성증권,"370,660"
2021-03-15 21:22:10,"35,850",+2.43%,047810,한국항공우주,"1,150,871"
2021-03-15 21:22:10,"32,950",-0.45%,004990,롯데지주,"160,896"
2021-03-15 21:22:10,"6,850",+1.33%,003410,쌍용양회,"1,035,511"
2021-03-15 21:22:10,"40,350",+3.33%,006360,GS건설,"1,992,210"
2021-03-15 21:22:10,"87,200",+4.06%,008770,호텔신라,"1,846,980"
2021-03-15 21:22:10,"6,240",-2.35%,028670,팬오션,"8,773,312"
2021-03-15 21:22:10,"49,500",+1.12%,336260,두산퓨얼셀,"529,726"
2021-03-15 21:22:10,"11,400",+0.44%,005940,NH투자증권,"690,226"
2021-03-15 21:22:10,"123,000",-3.15%,039490,키움증권,"171,153"
2021-03-15 21:22:11,"81,600",0.00%,012750,에스원,"53,570"
2021-03-15 21:22:11,"44,550",+3.48%,005830,DB손해보험,"304,901"
2021-03-15 21:22:11,"66,600",-1.04%,020150,일진머티리얼즈,"194,847"
2021-03-15 21:22:11,"65,400",-1.65%,204320,만도,"512,426"
2021-03-15 21:22:11,"30,800",-2.22%,026960,동서,"218,728"
2021-03-15 21:22:11,"174,500",+1.16%,282330,BGF리테일,"43,349"
2021-03-15 21:22:11,"123,500",-0.80%,010060,OCI,"224,163"
2021-03-15 21:22:11,"32,250",+0.47%,036460,한국가스공사,"208,261"
2021-03-15 21:22:11,"4,370",+2.70%,008560,메리츠증권,"3,488,530"
2021-03-15 21:22:11,"36,950",+0.54%,007070,GS리테일,"191,268"
2021-03-15 21:22:11,"26,450",0.00%,042660,대우조선해양,"370,618"
2021-03-15 21:22:11,"69,300",-2.39%,112610,씨에스윈드,"668,439"
2021-03-15 21:22:11,"285,500",-0.52%,004170,신세계,"121,971"
2021-03-15 21:22:11,"94,700",-1.66%,001040,CJ,"87,210"
2021-03-15 21:22:11,"3,225",+1.42%,088350,한화생명,"5,214,451"
2021-03-15 21:22:11,"22,250",-0.89%,047050,포스코인터내셔널,"926,579"
2021-03-15 21:22:11,"6,300",+5.70%,047040,대우건설,"15,229,227"
2021-03-15 21:22:11,"13,300",0.00%,028050,삼성엔지니어링,"1,211,098"
2021-03-15 21:22:11,"37,100",+1.50%,000080,하이트진로,"661,835"
2021-03-15 21:22:11,"224,500",-1.54%,014680,한솔케미칼,"42,616"
2021-03-15 21:22:11,"42,250",-0.82%,081660,휠라홀딩스,"293,194"
2021-03-15 21:22:11,"61,300",+4.79%,010620,현대미포조선,"952,185"
2021-03-15 21:22:11,"21,050",-0.94%,030000,제일기획,"492,202"
2021-03-15 21:22:11,"121,000",+2.11%,375500,DL이앤씨,"572,948"
2021-03-15 21:22:11,"101,000",-0.49%,009240,한샘,"45,843"
2021-03-15 21:22:11,"52,400",0.00%,000990,DB하이텍,"599,315"
2021-03-15 21:22:11,"147,500",+3.15%,007700,F&F,"73,039"
2021-03-15 21:22:11,"81,400",-1.09%,011210,현대위아,"180,987"
2021-03-15 21:22:11,"20,800",0.00%,064350,현대로템,"1,705,326"
2021-03-15 21:22:11,"29,500",-0.67%,000880,한화,"171,190"
2021-03-15 21:22:11,"6,630",+3.27%,138930,BNK금융지주,"2,041,847"
2021-03-15 21:22:11,"19,050",-0.52%,272210,한화시스템,"799,810"
2021-03-15 21:22:11,"580,000",-1.02%,007310,오뚜기,"5,154"
2021-03-15 21:22:11,"65,300",-1.06%,006260,LS,"102,863"
2021-03-15 21:22:11,"23,750",+1.28%,001450,현대해상,"445,285"
2021-03-15 21:22:11,"41,300",+0.12%,012450,한화에어로스페이스,"466,007"
2021-03-15 21:22:11,"87,700",+0.46%,069960,현대백화점,"189,227"
2021-03-15 21:22:11,"312,000",-2.19%,006650,대한유화,"73,571"
2021-03-15 21:22:11,"32,700",-1.65%,003090,대웅,"176,369"
2021-03-15 21:22:11,"28,500",+4.01%,294870,HDC현대산업개발,"915,264"
2021-03-15 21:22:11,"45,150",+0.33%,017800,현대엘리베이,"351,868"
2021-03-15 21:22:11,"61,400",+2.85%,010120,LS ELECTRIC,"191,696"
2021-03-15 21:22:11,"207,000",+1.47%,002380,KCC,"30,127"
2021-03-15 21:22:11,"85,600",+5.68%,004800,효성,"239,988"
2021-03-15 21:22:12,"159,000",+0.63%,185750,종근당,"89,767"
2021-03-15 21:22:12,"8,090",-0.25%,042670,두산인프라코어,"1,215,296"
2021-03-15 21:22:12,"38,100",-2.06%,111770,영원무역,"186,402"
2021-03-15 21:22:12,"53,900",+0.56%,010780,아이에스동서,"52,930"
2021-03-15 21:22:12,"277,000",+0.54%,004370,농심,"26,201"
2021-03-15 21:22:12,"17,100",-2.84%,000240,한국앤컴퍼니,"204,664"
2021-03-15 21:22:12,"34,000",-2.30%,005250,녹십자홀딩스,"236,798"
2021-03-15 21:22:12,"23,200",-0.43%,003000,부광약품,"500,958"
2021-03-15 21:22:12,"54,800",-1.26%,120110,코오롱인더,"226,418"
2021-03-15 21:22:12,"123,000",-1.20%,069620,대웅제약,"36,407"
2021-03-15 21:22:12,"204,000",+4.08%,031430,신세계인터내셔날,"56,366"
2021-03-15 21:22:12,"20,250",+4.92%,032350,롯데관광개발,"1,032,407"
2021-03-15 21:22:12,"54,000",+2.47%,004000,롯데정밀화학,"133,369"
2021-03-15 21:22:12,"5,610",+0.36%,001740,SK네트웍스,"4,700,347"
2021-03-15 21:22:12,"57,600",+0.35%,161890,한국콜마,"138,777"
2021-03-15 21:22:12,"13,000",+1.17%,016380,KG동부제철,"245,723"
